stock_id,month_id,month_start_open_usd,month_end_close_usd,month_high_usd,month_low_usd,monthly_volume,intramonth_return,return_1m,return_3m,return_6m,intramonth_volatility,volatility_3m,volatility_6m,trading_days,avg_volume_3m,volume_ratio,price_range_ratio
US631,2022_05,28.573,25.681,30.523,22.402,8243900,-0.101214,-0.097052,-0.062264,-0.299382,0.848188,0.242014,0.266809,21,367382.0,1.02,0.284207
US631,2022_06,25.907,20.358,26.66,20.0,8926400,-0.214189,-0.207263,-0.256622,-0.44431,0.303633,0.426477,0.320395,21,369598.0,1.098,0.257091
US631,2022_07,20.179,20.633,22.619,18.949,6162500,0.022499,0.013493,-0.274541,-0.356868,0.451865,0.382362,0.342855,20,353527.0,0.792,0.1819
US631,2022_08,20.557,22.506,26.072,20.5,8918300,0.09481,0.090784,-0.123628,-0.178194,0.66649,0.535798,0.372895,23,363745.0,1.114,0.271054
US631,2022_09,22.203,20.283,23.518,18.381,7895400,-0.086475,-0.098781,-0.0037,-0.259372,0.512908,0.330195,0.381841,21,348124.0,1.031,0.231359
US631,2022_10,20.435,22.781,23.085,19.836,6284200,0.114803,0.123185,0.104131,-0.198999,0.400272,0.41534,0.439796,21,349968.0,0.816,0.158996
US631,2022_11,23.038,25.09,25.546,20.691,6956800,0.08907,0.101334,0.11481,-0.023011,0.633708,0.423775,0.455622,21,320248.0,0.987,0.210722
US631,2022_12,25.175,22.715,25.527,20.634,8500000,-0.097716,-0.094661,0.119906,0.115762,0.574638,0.415569,0.344785,21,329409.0,1.173,0.19434
US631,2023_01,23.0,26.043,27.836,20.843,6323900,0.132304,0.146528,0.143181,0.262222,0.43985,0.444138,0.385336,20,330011.0,0.871,0.304032
US631,2023_02,26.148,25.128,28.103,24.613,6517500,-0.039009,-0.035152,0.001509,0.116492,0.339019,0.43525,0.39034,19,323355.0,0.916,0.133479
US631,2023_03,24.899,24.557,25.852,21.58,10098400,-0.013735,-0.022713,0.0811,0.21073,0.423207,0.351583,0.345256,23,347573.0,1.321,0.171582
US631,2023_04,24.576,22.259,25.744,21.637,5779800,-0.094279,-0.093567,-0.145294,-0.022916,0.396605,0.131052,0.350562,19,339329.0,0.774,0.167121
US631,2023_05,21.579,18.736,22.996,18.497,8377600,-0.131748,-0.15828,-0.254366,-0.253241,0.408665,0.234888,0.363019,22,367512.0,1.036,0.208518
US631,2023_06,18.688,22.479,22.565,18.42,6462900,0.202857,0.199795,-0.084601,-0.010362,0.462947,0.66101,0.481807,21,312429.0,0.94,0.221824
US633,2020_01,2.104,2.598,2.884,2.048,4746900,0.234791,0.243333,0.186973,0.832236,1.155556,0.676012,0.883772,21,196962.0,1.095,0.397351
US633,2020_02,2.633,1.553,2.668,1.449,4383300,-0.410179,-0.402145,-0.174074,0.268627,0.897623,1.181149,1.123142,19,191983.0,1.038,0.462963
US633,2020_03,1.539,0.762,1.624,0.605,11341500,-0.504873,-0.509373,-0.6353,-0.464357,1.706288,1.410465,1.384139,22,310177.0,1.662,0.661632
US633,2020_04,0.748,0.976,0.997,0.463,13295200,0.304813,0.280374,-0.624435,-0.554215,1.512303,1.483934,1.161503,21,439697.0,1.374,0.714286
US633,2020_05,0.976,1.325,1.51,0.769,15749300,0.357582,0.357664,-0.147134,-0.295596,1.2017,1.662183,1.294461,20,611909.0,1.17,0.759124
US633,2020_06,1.424,1.382,1.994,1.246,19790800,-0.029494,0.043011,0.813084,-0.338769,1.42377,0.568017,1.285688,22,739929.0,1.216,0.525
US633,2020_07,1.375,3.988,4.936,1.282,86335700,1.900364,1.886598,3.08759,0.535154,2.26911,3.416272,2.992666,22,1846603.0,2.125,2.658031
US633,2020_08,4.003,4.277,6.032,3.853,38984700,0.068449,0.072352,2.228585,1.753551,1.301163,3.658186,2.803884,21,2198655.0,0.806,0.544484
US633,2020_09,4.219,5.413,5.5,3.915,25068200,0.283005,0.265652,2.917759,6.103226,0.940261,3.451469,2.418085,21,2278615.0,0.5,0.375644
US633,2020_10,5.5,5.312,7.034,4.349,35584300,-0.034182,-0.018717,0.331821,4.443938,0.674117,0.503038,2.513717,22,1509655.0,1.071,0.488158
US633,2020_11,5.305,6.965,7.671,5.182,26159800,0.312912,0.311258,0.628534,4.257862,0.922123,0.619401,2.517971,20,1315338.0,0.904,0.469304
US633,2020_12,7.148,7.462,8.917,5.664,20824500,0.043928,0.071354,0.378528,4.400739,0.864142,0.590848,2.507905,22,1251039.0,0.757,0.45501
US633,2021_01,7.513,9.516,10.583,7.258,19822100,0.266605,0.27522,0.791457,1.3859,0.666375,0.44814,0.476861,19,1012218.0,0.89,0.442607
US633,2021_02,9.852,9.867,12.118,9.56,16204600,0.001523,0.036867,0.416579,1.306948,0.607195,0.446236,0.495307,19,861382.0,0.855,0.259644
US633,2021_03,10.218,11.592,13.12,8.193,26398000,0.134469,0.174822,0.553388,1.141389,0.82635,0.414545,0.463069,23,945829.0,1.269,0.482204
US633,2021_04,11.747,13.526,13.984,11.119,15359200,0.151443,0.166879,0.421414,1.546402,0.457296,0.268321,0.374601,21,878209.0,0.795,0.243872
US633,2021_05,13.511,23.691,25.804,13.113,47065000,0.75346,0.751499,1.401086,2.401328,1.390458,1.161378,0.905911,20,1345791.0,1.59,0.939344
US633,2021_06,23.752,19.785,29.084,18.752,29744000,-0.167018,-0.164878,0.706811,1.651341,0.737286,1.607227,1.063221,22,1396488.0,0.968,0.434966
US633,2021_07,19.623,16.888,21.01,15.347,21392300,-0.139377,-0.146417,0.248548,0.774705,0.694946,1.814575,1.160771,21,1487898.0,0.654,0.288575
US633,2021_08,17.042,21.61,22.481,15.648,36847600,0.268044,0.279632,-0.087819,1.190224,0.886967,0.871147,1.161553,22,1333089.0,1.256,0.400994
US633,2021_09,22.038,17.91,27.557,17.545,39287600,-0.187313,-0.171223,-0.09475,0.545091,0.929869,0.877957,1.26182,21,1477689.0,1.209,0.454321
US633,2021_10,18.143,18.796,20.957,17.887,15172700,0.035992,0.049479,0.113004,0.38964,0.539633,0.780962,1.262107,21,1383453.0,0.499,0.169237
US633,2021_11,18.975,19.178,37.041,18.443,101311200,0.010698,0.020329,-0.112534,-0.190471,1.499948,0.415334,0.611969,21,2360174.0,1.951,0.980113
US633,2021_12,19.55,15.364,20.156,13.642,23251600,-0.214118,-0.198904,-0.142176,-0.223454,0.491872,0.470335,0.632557,22,2117205.0,0.499,0.333196
US633,2022_01,15.695,15.913,17.295,13.707,21210100,0.01389,0.035771,-0.153381,-0.057709,0.559172,0.454696,0.602351,20,2208680.0,0.437,0.22863
US633,2022_02,15.962,13.384,16.326,11.614,16300000,-0.161509,-0.158964,-0.302149,-0.380681,0.555628,0.434947,0.405158,19,920632.0,0.805,0.29519
US633,2022_03,13.359,14.075,16.085,11.549,24495300,0.053597,0.05162,-0.083912,-0.214158,0.743174,0.406247,0.394746,23,939476.0,1.185,0.339543
US633,2022_04,14.304,11.875,14.838,11.793,15186800,-0.169813,-0.156268,-0.253761,-0.36822,0.479316,0.418498,0.398238,20,848214.0,0.814,0.212851
US633,2022_05,11.875,10.663,13.237,9.159,21200900,-0.102063,-0.102051,-0.203263,-0.443997,0.642226,0.373555,0.369886,21,922470.0,1.045,0.343469
US633,2022_06,10.822,9.375,10.931,8.69,16212000,-0.133709,-0.120784,-0.333882,-0.389777,0.544096,0.095389,0.327848,21,796965.0,0.925,0.20711
US633,2022_07,9.308,10.755,11.098,8.865,7645900,0.155458,0.14719,-0.094304,-0.324135,0.468857,0.518233,0.437738,20,682709.0,0.509,0.239892
US633,2022_08,10.739,10.445,13.047,9.158,17119800,-0.027377,-0.028851,-0.020472,-0.219574,1.06929,0.471704,0.40188,23,620874.0,1.253,0.36215
US633,2022_09,10.24,9.165,10.872,8.789,6141600,-0.10498,-0.122549,-0.022438,-0.348828,0.366627,0.474403,0.387145,21,468292.0,0.596,0.203333
US633,2022_10,9.242,11.0,11.426,8.73,6069500,0.190219,0.200186,0.022722,-0.073725,0.316084,0.575144,0.495919,21,444408.0,0.621,0.291782
US633,2022_11,11.128,10.807,11.862,9.813,7348800,-0.028846,-0.017542,0.034631,0.01345,0.621335,0.570246,0.469722,21,296362.0,1.127,0.184049
US633,2022_12,10.746,7.689,10.972,7.28,7710800,-0.284478,-0.288477,-0.16102,-0.179845,0.384473,0.84806,0.617929,21,320138.0,1.095,0.343598
US633,2023_01,7.829,8.699,9.022,7.689,6050000,0.111125,0.13137,-0.209125,-0.191155,0.496808,0.737364,0.608085,20,319842.0,0.86,0.170189
US633,2023_02,8.691,7.689,9.431,7.62,5329100,-0.115292,-0.116116,-0.288477,-0.263836,0.390853,0.731067,0.623134,19,289241.0,0.837,0.208417
US633,2023_03,8.046,6.892,8.264,6.39,8054500,-0.143425,-0.1037,-0.1037,-0.248022,0.345797,0.483036,0.61736,23,294448.0,1.243,0.232901
US633,2023_04,6.946,7.062,8.093,6.695,5174100,0.0167,0.024707,-0.188201,-0.357968,0.407079,0.270088,0.496818,19,281177.0,0.836,0.20129
US633,2023_05,7.116,6.999,7.143,6.166,5540900,-0.016442,-0.008883,-0.089714,-0.35231,0.438557,0.230681,0.498809,22,284386.0,0.886,0.13728
US633,2023_06,6.953,8.481,8.684,6.851,5754900,0.219761,0.21164,0.230547,0.10294,0.300058,0.411589,0.448343,21,249544.0,1.048,0.263648
US634,2020_10,11.78,14.312,15.295,11.732,24886400,0.214941,,,,0.276645,,,20,,,0.302479
US634,2020_11,14.594,16.015,17.591,14.438,16922800,0.097369,0.119048,,,0.565929,,,20,,,0.216077
US634,2020_12,16.356,20.182,20.669,15.159,33626500,0.23392,0.260182,,,0.428005,,,22,1142965.0,1.337,0.336905
US634,2021_01,20.065,20.932,25.994,19.345,29851100,0.04321,0.037144,0.462585,,0.612403,0.390828,,19,1218188.0,1.114,0.331393
US634,2021_02,21.35,23.327,25.994,20.649,23264900,0.0926,0.114419,0.456535,,0.433655,0.392338,,19,1314280.0,0.805,0.250342
US634,2021_03,23.483,26.277,27.26,22.188,39713200,0.11898,0.126461,0.301978,,0.672796,0.167892,,23,1406503.0,1.283,0.216003
US634,2021_04,26.364,29.996,32.848,25.917,57522400,0.137764,0.141534,0.433023,1.095918,0.609825,0.047062,0.249892,21,1825765.0,1.432,0.262925
US634,2021_05,30.093,35.565,36.081,28.389,63155000,0.181836,0.185654,0.524624,1.220669,0.457327,0.106561,0.258488,20,2430161.0,1.181,0.255581
US634,2021_06,36.022,40.15,41.62,35.068,55188100,0.114597,0.128935,0.527973,0.989387,0.412962,0.103173,0.16799,22,2664629.0,0.941,0.181892
US634,2021_07,40.764,36.071,41.143,33.656,42407800,-0.115126,-0.1016,0.202532,0.723256,0.386032,0.527027,0.351384,21,2435620.0,0.791,0.183664
US634,2021_08,36.168,43.1,43.266,32.663,40907800,0.191661,0.194872,0.211881,0.847663,0.499643,0.53924,0.377201,22,2098541.0,0.886,0.293136
US634,2021_09,42.993,38.962,46.391,38.018,74778600,-0.093759,-0.096002,-0.029583,0.482771,0.312386,0.587426,0.475925,21,2395367.0,1.419,0.194746
US634,2021_10,38.992,41.649,44.229,37.677,39499500,0.068142,0.068965,0.154656,0.38851,0.30873,0.50532,0.462664,21,2351302.0,0.764,0.16804
US634,2021_11,42.019,43.441,49.73,40.754,55719700,0.033842,0.043011,0.007906,0.221462,0.418427,0.307286,0.413636,21,2575724.0,0.983,0.213624
US634,2021_12,44.57,42.74,46.225,36.928,72394400,-0.041059,-0.016136,0.096952,0.064501,0.655536,0.151091,0.388646,22,2539600.0,1.296,0.208606
US634,2022_01,42.857,37.872,44.288,32.985,47615900,-0.116317,-0.113895,-0.090697,0.049933,0.449177,0.274498,0.397819,20,2662576.0,0.813,0.263744
US634,2022_02,37.872,31.515,39.77,29.236,44423700,-0.167855,-0.167866,-0.274541,-0.268805,0.524673,0.266428,0.324915,19,2491424.0,0.81,0.278149
US634,2022_03,31.31,38.439,39.552,28.954,102373200,0.227691,0.219732,-0.100622,-0.013425,0.661048,0.727259,0.480274,23,2945648.0,1.58,0.338467
US634,2022_04,38.859,36.449,42.117,35.62,46405600,-0.062019,-0.051777,-0.037573,-0.124861,0.410372,0.689096,0.472352,20,2927311.0,0.721,0.167211
US634,2022_05,36.634,32.693,38.82,24.488,61783500,-0.107578,-0.103051,0.037391,-0.247415,0.863801,0.600891,0.474839,21,3190338.0,0.88,0.391212
US634,2022_06,33.249,34.75,38.318,32.108,56608200,0.045144,0.062907,-0.095989,-0.186952,0.65273,0.29436,0.496567,21,2496929.0,1.031,0.186797
